id,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,flow_duration,is_attack
1,2025-03-25 13:45:49.214523,164.57.12.140,245.164.199.23,57446,57139,UDP,4122,4854,2094,0
2,2025-03-25 13:45:50.214523,63.114.71.52,245.70.155.142,16819,40476,ICMP,300,3158,1272,0
3,2025-03-25 13:45:51.214523,174.44.216.16,1.78.230.102,1884,44175,UDP,1990,2956,2781,0
4,2025-03-25 13:45:52.214523,8.47.111.119,108.67.193.141,39182,61003,TCP,111,1011,1237,0
5,2025-03-25 13:45:53.214523,130.13.101.214,159.151.55.150,63594,18064,TCP,2076,2871,1434,0
6,2025-03-25 13:45:54.214523,57.229.142.3,207.234.28.135,55367,45796,UDP,1425,1567,2002,0
7,2025-03-25 13:45:55.214523,195.81.216.174,74.233.167.41,45756,57919,ICMP,3471,540,1857,1
8,2025-03-25 13:45:56.214523,72.79.110.172,89.120.251.85,12308,31578,TCP,4170,1095,1533,0
9,2025-03-25 13:45:57.214523,27.47.194.49,103.9.220.10,55910,64856,TCP,3656,2211,2050,1
10,2025-03-25 13:45:58.214523,92.176.135.22,230.66.127.75,7289,28940,TCP,465,4200,2766,0
11,2025-03-25 13:45:59.214523,187.235.63.193,3.8.7.88,17874,45895,ICMP,756,3829,742,0
12,2025-03-25 13:46:00.214523,21.150.185.98,153.241.4.215,63702,57015,UDP,260,3568,1871,0
13,2025-03-25 13:46:01.214523,181.35.23.116,164.246.71.137,38218,27396,UDP,274,4812,1728,0
14,2025-03-25 13:46:02.214523,198.148.40.119,109.160.160.103,22986,62731,ICMP,3570,3939,1344,0
15,2025-03-25 13:46:03.214523,222.51.194.142,2.75.76.92,48215,40104,TCP,4160,4560,868,0
16,2025-03-25 13:46:04.214523,117.186.83.189,244.87.61.65,61812,41730,ICMP,644,2938,2301,0
17,2025-03-25 13:46:05.214523,91.107.136.36,132.52.204.10,45155,43746,ICMP,3954,4820,1496,0
18,2025-03-25 13:46:06.214523,156.87.125.83,53.163.111.89,61287,56352,UDP,1861,4702,2876,0
19,2025-03-25 13:46:07.214523,119.194.138.112,184.76.116.85,17047,30072,ICMP,1056,622,89,0
20,2025-03-25 13:46:08.214523,176.166.28.117,127.73.115.156,42114,20693,ICMP,551,805,1929,0
21,2025-03-25 13:46:09.214523,211.16.161.205,67.70.137.36,2709,10801,TCP,181,1859,1039,0
22,2025-03-25 13:46:10.214523,69.33.108.161,231.200.29.109,1793,55735,TCP,1336,349,3237,0
23,2025-03-25 13:46:11.214523,55.255.202.234,143.41.130.138,60759,37355,UDP,546,4444,1798,0
24,2025-03-25 13:46:12.214523,37.135.71.126,139.85.84.109,63979,60808,TCP,2265,1474,1451,0
25,2025-03-25 13:46:13.214523,191.134.219.204,176.98.64.90,57125,21992,ICMP,1719,1926,1868,1
26,2025-03-25 13:46:14.214523,93.112.70.252,129.154.217.202,3457,54993,ICMP,1893,2230,3547,0
27,2025-03-25 13:46:15.214523,24.24.56.78,31.227.41.23,6335,38833,ICMP,3414,3578,2740,0
28,2025-03-25 13:46:16.214523,161.81.216.32,131.48.204.100,38843,12316,UDP,4944,1203,972,0
29,2025-03-25 13:46:17.214523,99.195.239.128,38.56.122.116,40212,56358,TCP,1273,4093,618,0
30,2025-03-25 13:46:18.214523,249.5.58.136,115.162.91.41,18592,41818,ICMP,745,358,1443,0
31,2025-03-25 13:46:19.214523,197.174.57.150,200.133.176.182,54731,14947,TCP,478,4317,1434,0
32,2025-03-25 13:46:20.214523,112.80.232.1,212.154.131.228,20793,53420,TCP,2755,1247,1684,0
33,2025-03-25 13:46:21.214523,245.134.91.54,34.79.244.14,29717,51216,TCP,3684,1004,985,0
34,2025-03-25 13:46:22.214523,223.152.101.78,183.26.135.252,7420,28727,TCP,3833,2239,469,0
35,2025-03-25 13:46:23.214523,96.82.0.165,206.134.130.84,63211,19681,UDP,1240,3278,641,0
36,2025-03-25 13:46:24.214523,126.9.57.185,233.89.175.231,28504,4653,UDP,3835,4247,437,0
37,2025-03-25 13:46:25.214523,225.157.122.29,52.16.111.251,42458,3138,UDP,2113,4489,205,0
38,2025-03-25 13:46:26.214523,62.40.43.248,65.186.26.108,26682,57540,ICMP,761,2447,1054,0
39,2025-03-25 13:46:27.214523,209.35.64.65,201.224.137.113,19966,35469,ICMP,111,1691,956,0
40,2025-03-25 13:46:28.214523,169.243.84.135,38.25.26.204,58025,65346,ICMP,487,2341,522,0
41,2025-03-25 13:46:29.214523,136.216.108.102,169.2.126.1,19455,36886,UDP,3123,3728,1686,0
42,2025-03-25 13:46:30.214523,183.159.204.191,164.232.249.124,3771,26598,TCP,3933,954,285,0
43,2025-03-25 13:46:31.214523,113.231.61.126,245.222.195.247,59343,33373,UDP,2019,850,837,0
44,2025-03-25 13:46:32.214523,58.32.173.10,195.186.182.226,60174,23281,ICMP,4591,4149,1416,0
45,2025-03-25 13:46:33.214523,151.117.112.3,232.249.47.162,1213,36076,ICMP,2692,2467,2485,0
46,2025-03-25 13:46:34.214523,19.30.117.34,120.119.115.119,65469,38844,TCP,2808,338,1163,0
47,2025-03-25 13:46:35.214523,232.16.169.36,86.113.108.255,20142,57238,UDP,4835,2795,2714,0
48,2025-03-25 13:46:36.214523,132.121.142.248,197.19.94.126,36797,18997,TCP,199,4736,659,0
49,2025-03-25 13:46:37.214523,55.67.242.124,137.149.28.167,54834,26761,UDP,4652,1416,2963,0
50,2025-03-25 13:46:38.214523,201.242.208.97,112.148.234.194,2923,52696,ICMP,4176,2404,1438,0
51,2025-03-25 13:46:39.214523,25.49.220.181,196.53.86.237,57910,64332,TCP,2871,207,1572,0
52,2025-03-25 13:46:40.214523,109.210.239.27,241.61.78.22,2291,13071,TCP,4269,1704,777,0
53,2025-03-25 13:46:41.214523,173.50.31.206,119.205.79.143,32575,54824,UDP,2477,2008,647,0
54,2025-03-25 13:46:42.214523,187.173.55.127,139.18.180.81,51704,23137,UDP,1963,2330,2578,0
55,2025-03-25 13:46:43.214523,50.97.229.71,41.134.68.232,12418,1718,UDP,4119,3877,2185,0
56,2025-03-25 13:46:44.214523,109.93.142.236,84.218.59.230,4580,57983,ICMP,4370,466,390,0
57,2025-03-25 13:46:45.214523,64.38.226.50,184.125.228.77,4914,16612,UDP,3858,3009,2246,0
58,2025-03-25 13:46:46.214523,13.7.47.121,14.40.243.11,42630,62780,ICMP,4692,3694,557,0
59,2025-03-25 13:46:47.214523,43.208.248.246,17.57.228.164,31764,65109,UDP,4623,3021,2454,0
60,2025-03-25 13:46:48.214523,55.205.30.84,164.169.170.200,61256,46847,UDP,134,4368,2001,0
61,2025-03-25 13:46:49.214523,98.1.199.135,117.235.150.245,15526,49872,ICMP,2266,1840,2505,0
62,2025-03-25 13:46:50.214523,238.232.146.216,64.188.57.22,22801,62166,UDP,3739,2918,3526,0
63,2025-03-25 13:46:51.214523,179.249.79.97,228.214.232.155,11651,65397,ICMP,4072,1453,1111,0
64,2025-03-25 13:46:52.214523,76.111.29.31,222.152.133.21,9816,21091,ICMP,3480,551,2047,0
65,2025-03-25 13:46:53.214523,192.160.29.25,202.251.63.204,44347,7728,UDP,3276,4666,1233,0
66,2025-03-25 13:46:54.214523,150.244.80.29,125.251.26.120,44045,41160,UDP,275,4516,224,0
67,2025-03-25 13:46:55.214523,246.41.95.35,5.84.146.69,9457,2995,TCP,2253,4636,1277,0
68,2025-03-25 13:46:56.214523,153.34.120.206,57.0.4.109,44025,48385,UDP,4787,2546,3232,1
69,2025-03-25 13:46:57.214523,31.126.20.41,58.154.61.245,12040,59871,TCP,1686,2335,3301,0
70,2025-03-25 13:46:58.214523,108.161.133.104,207.61.163.160,24921,41847,UDP,3758,3609,3267,0
71,2025-03-25 13:46:59.214523,172.160.122.135,203.9.100.99,3636,12465,ICMP,3102,984,1401,0
72,2025-03-25 13:47:00.214523,102.67.153.234,15.117.5.97,57217,32500,ICMP,1052,3619,2192,0
73,2025-03-25 13:47:01.214523,81.37.4.234,193.189.137.105,59731,54394,TCP,2971,842,130,1
74,2025-03-25 13:47:02.214523,160.51.37.109,27.127.225.112,56411,15701,UDP,4429,2139,2036,0
75,2025-03-25 13:47:03.214523,130.135.67.178,28.77.189.14,55662,28842,TCP,2814,2662,1475,0
76,2025-03-25 13:47:04.214523,226.35.125.189,204.138.55.255,24507,2892,UDP,3756,1360,3113,0
77,2025-03-25 13:47:05.214523,73.80.224.154,180.186.236.116,59846,19079,UDP,3078,4376,1715,0
78,2025-03-25 13:47:06.214523,157.4.153.53,36.90.68.246,49579,59450,ICMP,1909,4605,3086,0
79,2025-03-25 13:47:07.214523,241.68.135.59,135.19.73.120,60924,2752,TCP,2906,2434,3022,1
80,2025-03-25 13:47:08.214523,228.54.79.139,226.202.107.48,18183,8656,ICMP,4251,485,3038,0
81,2025-03-25 13:47:09.214523,73.107.175.104,162.19.214.91,45998,13067,ICMP,3859,702,3505,0
82,2025-03-25 13:47:10.214523,176.135.250.128,8.141.219.235,42018,7427,ICMP,3428,542,1768,1
83,2025-03-25 13:47:11.214523,232.26.47.216,144.212.100.20,15565,16756,TCP,3070,3407,1457,0
84,2025-03-25 13:47:12.214523,213.141.22.1,197.113.32.198,36944,56268,UDP,3234,2732,539,0
85,2025-03-25 13:47:13.214523,86.66.134.82,149.34.131.201,27555,19550,UDP,2059,4067,2471,0
86,2025-03-25 13:47:14.214523,190.226.218.4,123.20.239.194,2609,10364,TCP,905,3401,1353,1
87,2025-03-25 13:47:15.214523,29.38.76.18,179.208.131.139,4967,39976,UDP,3200,2401,932,0
88,2025-03-25 13:47:16.214523,214.189.75.220,212.140.32.61,24963,23418,TCP,1675,4550,1546,0
89,2025-03-25 13:47:17.214523,33.21.157.186,140.179.41.21,20481,34045,TCP,3830,3666,1885,1
90,2025-03-25 13:47:18.214523,231.20.183.107,28.175.134.85,2045,5126,UDP,699,2576,2948,0
91,2025-03-25 13:47:19.214523,175.127.52.181,113.89.165.171,12677,37334,ICMP,2715,4670,85,0
92,2025-03-25 13:47:20.214523,200.208.79.121,228.235.117.7,44597,20183,TCP,3471,4110,869,0
93,2025-03-25 13:47:21.214523,222.83.90.211,189.52.23.253,14441,57854,TCP,711,2489,2050,0
94,2025-03-25 13:47:22.214523,7.91.170.210,35.172.154.89,54019,7236,TCP,2049,1930,207,0
95,2025-03-25 13:47:23.214523,206.127.136.81,219.114.8.67,41781,32848,TCP,660,4173,412,0
96,2025-03-25 13:47:24.214523,202.55.195.19,42.243.92.248,10716,38429,UDP,2646,3514,2649,0
97,2025-03-25 13:47:25.214523,220.240.113.102,177.190.81.58,46782,12549,UDP,726,4929,121,0
98,2025-03-25 13:47:26.214523,210.235.179.156,176.176.86.249,64913,29784,TCP,2911,2366,1481,0
99,2025-03-25 13:47:27.214523,211.116.114.12,200.75.123.35,7897,56210,ICMP,1710,695,1566,0
100,2025-03-25 13:47:28.214523,169.98.204.168,222.61.136.113,6699,45263,UDP,3362,290,9,0
101,2025-03-25 13:47:29.214523,72.35.142.179,74.34.197.196,1185,46292,ICMP,3882,3562,312,0
102,2025-03-25 13:47:30.214523,165.204.169.14,246.119.81.213,38089,28481,ICMP,774,743,2872,0
103,2025-03-25 13:47:31.214523,30.133.91.135,119.224.187.224,27581,58633,TCP,3822,4289,3276,0
104,2025-03-25 13:47:32.214523,10.55.222.176,34.238.225.238,34787,49039,UDP,148,1218,829,0
105,2025-03-25 13:47:33.214523,187.160.223.59,29.140.208.13,64781,11556,TCP,1486,3867,500,0
106,2025-03-25 13:47:34.214523,99.97.130.22,91.96.154.201,33630,14542,TCP,2002,1767,2957,0
107,2025-03-25 13:47:35.214523,182.223.0.100,236.169.225.146,63279,7500,ICMP,4822,1205,1934,0
108,2025-03-25 13:47:36.214523,94.220.35.169,230.31.195.118,12558,53324,ICMP,3667,4535,2698,0
109,2025-03-25 13:47:37.214523,160.160.63.153,67.223.250.48,30151,20767,ICMP,4472,2955,145,0
110,2025-03-25 13:47:38.214523,130.158.209.167,110.148.205.81,41421,2028,TCP,2194,2259,401,0
111,2025-03-25 13:47:39.214523,104.151.65.98,158.64.47.254,62166,44078,TCP,3942,4498,2975,0
112,2025-03-25 13:47:40.214523,108.194.89.154,123.98.199.9,26875,38509,TCP,4411,4246,686,0
113,2025-03-25 13:47:41.214523,104.0.155.146,84.123.1.32,2040,4295,TCP,329,905,1585,0
114,2025-03-25 13:47:42.214523,54.220.164.238,22.6.11.16,25277,46506,TCP,3592,800,755,0
115,2025-03-25 13:47:43.214523,114.226.109.242,124.241.121.59,56615,1233,TCP,1785,3891,483,0
116,2025-03-25 13:47:44.214523,204.86.43.145,254.80.209.104,25300,26487,TCP,1410,4856,2148,0
117,2025-03-25 13:47:45.214523,132.171.47.120,123.128.36.248,24271,6563,TCP,4241,1900,1227,0
118,2025-03-25 13:47:46.214523,173.158.115.101,174.24.106.93,25324,50329,UDP,732,2007,3280,0
119,2025-03-25 13:47:47.214523,38.12.23.125,48.162.28.45,9553,21001,UDP,2522,1236,2653,0
120,2025-03-25 13:47:48.214523,252.243.37.233,160.101.118.76,18286,9630,UDP,2850,4231,2797,1
121,2025-03-25 13:47:49.214523,107.99.196.253,42.243.132.149,10292,45408,UDP,432,722,786,0
122,2025-03-25 13:47:50.214523,103.124.75.2,224.189.135.179,22295,63644,TCP,1979,2996,1995,0
123,2025-03-25 13:47:51.214523,229.54.217.112,186.145.144.246,13209,35076,TCP,606,1515,2315,1
124,2025-03-25 13:47:52.214523,46.237.25.127,243.82.227.253,64728,4172,ICMP,4312,2162,506,0
125,2025-03-25 13:47:53.214523,235.62.233.68,182.89.148.144,22267,34560,ICMP,1042,2787,2298,0
126,2025-03-25 13:47:54.214523,206.237.162.226,205.224.235.38,40123,59350,UDP,735,4362,439,0
127,2025-03-25 13:47:55.214523,157.218.228.81,117.159.12.208,9595,6631,ICMP,1689,1788,1762,0
128,2025-03-25 13:47:56.214523,191.243.230.132,237.200.198.230,58860,20610,UDP,1562,4258,387,0
129,2025-03-25 13:47:57.214523,193.126.141.248,146.133.64.2,41000,30274,TCP,2091,302,1486,0
130,2025-03-25 13:47:58.214523,161.122.140.225,175.192.61.111,39068,61894,TCP,1834,1638,2544,0
131,2025-03-25 13:47:59.214523,20.146.120.139,121.219.84.97,52238,52963,ICMP,2363,1224,616,0
